Year,Fire Number,Fire Centre,Latitude,Longitude,Geographic,Discovery Date,Size (ha)
2013,K20029 (2013),Kamloops,50 48.470,120 59.471,Deadman Valley 2,"April 27, 2013",10.0
2013,K20041 (2013),Kamloops,50 35.063,120 26.742,19km Lac le Jeune Rd,"May 6, 2013",30.0
2013,K20048 (2013),Kamloops,51 10.994,119 49.427,2km W Johnson Lake,"May 7, 2013",12.6
2013,K20050 (2013),Kamloops,50 48.882,120 56.716,1km Deadman Road,"May 8, 2013",75.0
2013,K20246 (2013),Kamloops,50 31.207,120 55.042,Bose Lake,"July 23, 2013",15.6
2013,K20256 (2013),Kamloops,50 42.835,121 17.917,Ashcroft,"July 24, 2013",16.1
2013,K20268 (2013),Kamloops,50 45.186,120 37.052,Fredricks,"July 27, 2013",63.5
2013,K20554 (2013),Kamloops,50 55.177,120 10.531,2km N of Lyons Lk,"August 10, 2013",68.7
2013,K30573 (2013),Kamloops,50 52.425,118 25.667,Joss Mtn,"August 10, 2013",18.0
2013,K40767 (2013),Kamloops,50 13.346,119 18.262,Birnie Road,"August 19, 2013",15.8
2013,K50106 (2013),Kamloops,49 02.317,119 25.537,Anarchist Mountain,"June 12, 2013",60.0
2013,K50290 (2013),Kamloops,49 17.891,119 37.557,White Lake Road,"July 28, 2013",69.0
2013,K50766 (2013),Kamloops,49 04.409,119 34.694,Spotted Lake,"August 19, 2013",14.9
2013,K60099 (2013),Kamloops,49 38.070,120 08.590,Trout Creek,"June 8, 2013",6.2
2013,K60281 (2013),Kamloops,50 05.970,120 30.815,SE Quilchena Hotel,"July 27, 2013",7.0
2013,K60718 (2013),Kamloops,50 29.263,121 17.668,9 km Pemynoos Rd,"August 14, 2013",26.0
2013,K60903 (2013),Kamloops,49 31.629,120 28.847,Princeton-Summerland Rd,"March 31, 2014",10.0
2013,K70024 (2013),Kamloops,50 35.912,122 27.664,Base of McGillivray Drainage,"April 26, 2013",7.0
2013,K70505 (2013),Kamloops,50 51.918,122 40.589,Carpenter Lake,"August 7, 2013",8.9
2013,K70633 (2013),Kamloops,50 21.045,121 23.584,Gold Pan,"August 11, 2013",5.2
2013,K70900 (2013),Kamloops,50 23.047,121 40.104,Izman Creek,"March 30, 2014",25.0
2013,N10003 (2013),Southeast,49 36.767,115 38.557,Fort Steele,"April 9, 2013",6.8
2013,N10010 (2013),Southeast,49 16.139,115 11.554,Kikomun,"April 22, 2013",14.1
2013,N10011 (2013),Southeast,49 39.595,115 41.533,St. Marys Indian Reserve,"April 24, 2013",125.0
2013,N10676 (2013),Southeast,49 12.028,115 09.483,Cutts Pasture,"September 5, 2013",12.6
2013,N20028 (2013),Southeast,50 30.089,115 36.702,Palliser River Drainage,"May 11, 2013",15.5
2013,N20213 (2013),Southeast,50 39.020,115 36.445,Albert River,"July 26, 2013",7.5
2013,N40217 (2013),Southeast,51 41.600,118 32.180,French Creek/ Old Camp Creek,"July 27, 2013",16.6
2013,N40384 (2013),Southeast,51 10.634,117 43.286,Jumping Creek,"August 10, 2013",22.6
2013,N40385 (2013),Southeast,51 08.473,117 48.017,Illecillewaet,"August 8, 2013",6.8
2013,N40413 (2013),Southeast,52 12.784,118 13.320,Woodarm River,"August 11, 2013",12.5
2013,N40490 (2013),Southeast,51 39.707,116 55.867,Waitabit Crk `,"August 14, 2013",6.9
2013,N40713 (2013),Southeast,51 41.150,117 42.426,Kinbasket Lake,"September 25, 2013",17.0
2013,N50196 (2013),Southeast,49 37.453,117 37.977,Perry Ridge #1,"July 24, 2013",64.4
2013,N50439 (2013),Southeast,50 44.070,117 34.216,Mohawk Crk #2,"August 12, 2013",5.0
2013,N50495 (2013),Southeast,50 55.806,117 30.988,Kellie Creek #2,"August 15, 2013",6.0
2013,N50597 (2013),Southeast,49 59.690,117 26.955,Wee Sandy Creek,"August 26, 2013",35.0
2013,N50734 (2013),Southeast,50 23.209,118 08.509,Mid Fosthall,"October 29, 2013",40.0
2013,N50735 (2013),Southeast,50 23.239,118 11.100,Mid Fosthall #2,"October 29, 2013",32.0
2013,N70249 (2013),Southeast,50 57.011,117 13.960,Duncan Creek,"July 30, 2013",11.3
2013,N70405 (2013),Southeast,50 32.763,116 57.955,Dunn Creek Trail,"August 11, 2013",203.9
2013,N70689 (2013),Southeast,50 30.317,117 22.430,Craig Creek,"September 14, 2013",36.0
2013,N70727 (2013),Southeast,50 11.520,117 04.130,Cooper/McKian Creek,"October 22, 2013",13.8
2013,N70731 (2013),Southeast,49 39.274,117 10.567,W. Kokanee,"October 28, 2013",7.6
2013,R10004 (2013),Northwest,53 48.154,125 49.563,9299 Cheslatta Road,"April 23, 2013",7.6
2013,R10010 (2013),Northwest,54 05.747,125 17.241,40km E of Burns Lk on Hwy 16,"April 25, 2013",5.6
2013,R10019 (2013),Northwest,54 19.160,126 06.830,"Maxan Lake I.R.#4, SE of Topley","May 4, 2013",14.0
2013,R10194 (2013),Northwest,53 06.506,126 23.890,Oppy Lake,"August 11, 2013",7.1
2013,R10245 (2013),Northwest,54 25.397,125 44.615,Pinkut FSR,"September 3, 2013",5.9
2013,R10251 (2013),Northwest,54 30.623,125 25.385,W of Cunningham Lk,"September 9, 2013",6.0
2013,R10252 (2013),Northwest,53 16.307,126 13.039,N shore at E end of Eutsuk Lk,"September 9, 2013",3700.0
2013,R20273 (2013),Northwest,53 50.636,126 48.244,91km on the Shelford FSR,"October 21, 2013",5.0
2013,R20274 (2013),Northwest,53 45.227,126 52.346,102.5 on Tahtsa Reach FSR,"October 21, 2013",7.2
2013,R20275 (2013),Northwest,54 06.560,127 15.220,1km on the Beaver FSR,"October 5, 2013",75.0
2013,R30018 (2013),Northwest,54 36.299,126 49.232,Wakefield Rd 1.25km E of Hwy 16.,"May 3, 2013",14.7
2013,R40145 (2013),Northwest,55 20.689,128 02.172,5 km East of Kitwancool Lake,"August 3, 2013",10.0
2013,R40183 (2013),Northwest,56 11.433,127 58.783,Skeena River at O'Dwyer Crk,"August 6, 2013",103.0
2013,R50032 (2013),Northwest,55 20.850,128 53.952,Nass Camp,"May 9, 2013",7.7
2013,R50059 (2013),Northwest,56 44.721,129 51.913,5 KM W of Bell 2,"June 12, 2013",9.0
2013,R50150 (2013),Northwest,53 06.619,127 32.501,Kitlope Heritage Conservancy,"August 4, 2013",170.0
2013,R90067 (2013),Northwest,57 24.078,130 55.756,Skeeter Lake,"June 22, 2013",3100.0
2013,R90246 (2013),Northwest,59 12.020,133 58.440,Atlin Provincial Park,"September 3, 2013",111.0
2013,V10310 (2013),Coastal,49 36.175,122 38.795,Pitt Lake,"July 28, 2013",64.4
2013,V10721 (2013),Coastal,49 35.796,121 20.687,Siwash Ck,"October 17, 2013",25.0
2013,V30216 (2013),Coastal,50 10.162,122 28.068,Lizzie Creek,"July 15, 2013",31.0
2013,V50289 (2013),Coastal,50 39.077,124 45.270,Orford River,"July 26, 2013",6.6
2013,V60746 (2013),Coastal,48 26.822,124 08.327,Jordan River,"October 29, 2013",8.0
2013,V70739 (2013),Coastal,49 24.085,124 48.276,Cochrane 59,"October 27, 2013",80.0
2013,V70745 (2013),Coastal,48 49.070,124 52.349,Klanawa River (Blk 862131),"October 28, 2013",40.0
2013,V80722 (2013),Coastal,49 58.634,126 04.681,Elbow Creek #1 (Z62),"October 18, 2013",33.2
2013,V80726 (2013),Coastal,50 00.747,126 04.734,Elbow Creek #2 (Z66),"October 19, 2013",23.8
2013,V80727 (2013),Coastal,50 00.405,126 03.134,Elbow Creek #3 (Z18),"October 19, 2013",37.3
2013,V80731 (2013),Coastal,50 04.400,126 00.400,Stewart 30 (Block 10783),"October 10, 2013",30.4
2013,V80735 (2013),Coastal,50 20.587,126 33.245,Tsitika River West Main (A82032),"October 23, 2013",17.0
2013,V80736 (2013),Coastal,49 46.497,126 31.157,Hisnit (S15),"October 25, 2013",16.6
2013,V80748 (2013),Coastal,49 46.859,126 31.172,Hisnit,"October 28, 2013",13.4
2013,V80756 (2013),Coastal,50 07.170,126 01.330,Elbow Creek (#20274),"October 30, 2013",5.0
2013,VA0359 (2013),Coastal,52 17.016,126 56.215,South Bentick Arm,"August 2, 2013",178.0
2013,VA0375 (2013),Coastal,51 46.133,126 21.551,Lemolo Creek,"August 1, 2013",88.5
2014,C10066 (2014),Cariboo,52 58.030,121 03.048,50 km Mark on the 3100 Road,"July 2, 2014",10.0
2014,C10067 (2014),Cariboo,53 10.304,120 55.080,Isaac Lake/S Huckey Ck,"July 3, 2014",28.9
2014,C10115 (2014),Cariboo,52 49.999,123 42.570,5 miles S Nazko IR,"August 2, 2014",9.0
2014,C10133 (2014),Cariboo,52 43.070,122 58.380,8km NW Tzenzaicut Lake,"August 5, 2014",40.0
2014,C10139 (2014),Cariboo,52 58.941,125 28.696,Eliguk Lake,"August 6, 2014",17.1
2014,C10200 (2014),Cariboo,52 53.402,125 00.918,Shag Creek,"October 10, 2014",11.0
2014,C10208 (2014),Cariboo,52 50.442,122 45.022,Deserter Road,"October 19, 2014",15.0
2014,C20016 (2014),Cariboo,52 06.780,121 59.820,Williams Lake IR 1,"April 13, 2014",14.9
2014,C20037 (2014),Cariboo,52 15.875,122 06.442,Deep Creek,"May 1, 2014",5.5
2014,C20086 (2014),Cariboo,52 21.602,122 20.630,Soda Creek,"July 13, 2014",122.0
2014,C20155 (2014),Cariboo,51 35.028,122 18.130,Dog Creek,"August 15, 2014",15.4
2014,C40028 (2014),Cariboo,51 11.500,121 34.540,Big Bar,"April 28, 2014",9.8
2014,C40033 (2014),Cariboo,51 45.819,121 02.912,"Forest Grove - 4465 Canim, Hendrix Lake ...","April 30, 2014",7.7
2014,C50002 (2014),Cariboo,51 59.362,123 08.945,Anahim Flat IR 1,"April 4, 2014",8.5
2014,C50008 (2014),Cariboo,52 08.615,123 57.067,Red Stone IR,"April 10, 2014",8.3
2014,C50009 (2014),Cariboo,52 01.408,123 11.012,Anahims Flats,"April 10, 2014",84.0
2014,C50011 (2014),Cariboo,52 06.157,123 24.255,Alexis Creek,"April 12, 2014",14.5
2014,C50015 (2014),Cariboo,51 25.311,124 03.731,15 km back from Nemiah Lake near Roberts...,"April 13, 2014",8.0
2014,C50018 (2014),Cariboo,52 02.000,123 11.182,Anahim's Flat 1 IR,"April 13, 2014",13.0
2014,C50020 (2014),Cariboo,52 03.662,123 13.739,4 km E of Alexis Creek,"April 17, 2014",9.0
2014,C50029 (2014),Cariboo,52 05.173,123 16.501,Alexis Creek School,"April 29, 2014",35.2
2014,C50034 (2014),Cariboo,52 27.463,125 16.853,Anahim Lake,"May 1, 2014",16.5
2014,C50041 (2014),Cariboo,51 52.882,123 03.973,Alexis Creek,"May 2, 2014",9.0
2014,C50091 (2014),Cariboo,52 08.112,123 16.038,13 km on Anah Lake RD,"July 17, 2014",5.8
2014,C50125 (2014),Cariboo,52 41.686,124 25.025,Moore Creek,"August 3, 2014",5.2
2014,C50136 (2014),Cariboo,51 57.630,124 47.006,Kleena Kleene,"August 5, 2014",18.6
2014,C50145 (2014),Cariboo,52 06.069,123 35.105,West of Bull Canyon,"August 11, 2014",940.0
2014,C50146 (2014),Cariboo,52 13.980,124 34.699,Jorgensen Creek,"August 13, 2014",44.5
2014,C50158 (2014),Cariboo,52 43.700,124 16.599,West of Mount Dent,"August 16, 2014",609.0
2014,C50188 (2014),Cariboo,52 01.977,123 11.185,Anahim Creek,"September 21, 2014",6.0
2014,C50192 (2014),Cariboo,51 26.109,124 03.641,Nemaiah Valley,"October 6, 2014",12.0
2014,C50202 (2014),Cariboo,52 18.759,125 10.497,Nimpo Lake,"October 13, 2014",7.0
2014,C50203 (2014),Cariboo,52 00.009,123 07.912,Anahim Dump Road,"October 17, 2014",8.7
2014,C50206 (2014),Cariboo,52 00.619,123 10.156,Anahim's Flat IR 1,"October 18, 2014",6.4
2014,C50225 (2014),Cariboo,52 07.603,124 00.284,West of Redstone Reserve,"March 30, 2015",37.0
2014,G10069 (2014),Prince George,54 07.780,122 55.430,14.5km on Moldowan FSR,"May 18, 2014",5.0
2014,G10109 (2014),Prince George,54 16.910,122 16.921,2km SE of Averil Lake,"June 13, 2014",11.0
2014,G10174 (2014),Prince George,53 33.629,121 26.576,NE Haggin Lake,"July 3, 2014",10.8
2014,G10204 (2014),Prince George,54 36.223,122 53.459,5NM SE WHEADON LAKE,"July 9, 2014",102.0
2014,G10214 (2014),Prince George,53 44.864,122 29.366,buckhorn lake,"July 11, 2014",12.0
2014,G30268 (2014),Prince George,53 24.833,120 54.111,Upper Goat River,"July 17, 2014",20.0
2014,G30270 (2014),Prince George,53 22.774,120 18.147,Hell Roaring Drainage,"July 17, 2014",50.0
2014,G30344 (2014),Prince George,52 43.120,119 09.210,Canoe Mountain,"August 2, 2014",10.0
2014,G40014 (2014),Prince George,53 55.706,124 32.852,Zelinski Road,"April 21, 2014",22.5
2014,G40112 (2014),Prince George,54 16.729,124 50.095,Old Peta Mt Fire Area,"June 17, 2014",28.0
2014,G40198 (2014),Prince George,53 08.584,124 22.896,Euchiniko Lakes,"July 8, 2014",21518.0
2014,G40377 (2014),Prince George,54 10.050,123 48.559,Breadalbane Creek,"August 5, 2014",14.0
2014,G40425 (2014),Prince George,53 31.928,124 00.865,1 Mile north of Chilako River,"August 11, 2014",104.0
2014,G50053 (2014),Prince George,54 13.306,123 48.488,Necosli FSR (Stuart River Burn),"May 12, 2014",77.5
2014,G50226 (2014),Prince George,54 52.710,123 50.002,Salmon Lake,"July 14, 2014",1648.0
2014,G50470 (2014),Prince George,55 11.901,124 19.290,East of Chuchi Lake,"August 16, 2014",85.0
2014,G60096 (2014),Prince George,56 48.040,125 43.130,Forres Mountain,"June 1, 2014",33068.0
2014,G60195 (2014),Prince George,56 17.157,125 17.265,Tenakihi - Mesilinka,"July 8, 2014",61285.0
2014,G60215 (2014),Prince George,55 20.616,122 59.306,Chichouyenily Creek,"July 12, 2014",180.0
2014,G60218 (2014),Prince George,55 27.680,123 05.966,Mugaha Creek,"July 12, 2014",185.0
2014,G60283 (2014),Prince George,56 07.307,123 38.838,"Wicked River, Peace Reach","July 20, 2014",2289.46
2014,G60293 (2014),Prince George,56 00.707,123 30.693,Mt Selwynn,"July 24, 2014",1386.46
2014,G60297 (2014),Prince George,56 17.992,124 02.321,Ospika Arm,"July 22, 2014",1688.34
2014,G60369 (2014),Prince George,56 08.487,125 05.284,Osilinka River,"August 5, 2014",1998.2
2014,G60376 (2014),Prince George,56 20.589,123 27.643,Nabesche River,"August 6, 2014",7979.49
2014,G60440 (2014),Prince George,56 30.111,125 14.186,Ravenal Creek,"August 13, 2014",71.7
2014,G60456 (2014),Prince George,55 17.867,122 30.561,Mount Hunter South of Stack Creek,"August 15, 2014",1541.56
2014,G70011 (2014),Prince George,55 50.536,121 40.019,Boucher Lake Road,"April 19, 2014",5.5
2014,G70137 (2014),Prince George,56 09.726,122 34.451,Aylard Creek,"June 28, 2014",17.0
2014,G70182 (2014),Prince George,54 34.633,120 24.478,Red Deer Creek,"July 6, 2014",33547.0
2014,G70221 (2014),Prince George,55 49.070,122 29.380,Mount McAllister,"July 13, 2014",26280.8
2014,G70222 (2014),Prince George,56 09.720,120 49.990,pine river,"July 13, 2014",27.0
2014,G70327 (2014),Prince George,55 11.402,122 01.006,Burnt River,"July 30, 2014",5.0
2014,G70363 (2014),Prince George,54 31.466,120 31.829,Whatley Creek Area,"August 3, 2014",7.2
2014,G70392 (2014),Prince George,54 50.308,120 00.105,Hiding Creek,"August 6, 2014",54.0
2014,G70413 (2014),Prince George,55 49.282,120 52.133,groundbirch,"August 9, 2014",5.0
2014,G70459 (2014),Prince George,55 10.783,122 09.367,Burnt River Area,"August 16, 2014",62.0
2014,G70460 (2014),Prince George,55 18.967,122 17.726,Mountain Creek,"August 16, 2014",10.0
2014,G70462 (2014),Prince George,55 24.473,122 29.209,Murray Range,"August 16, 2014",62.0
2014,G70466 (2014),Prince George,55 39.464,122 35.799,5 Miles South of Tin Lake,"August 16, 2014",78.0
2014,G70476 (2014),Prince George,55 13.095,122 09.866,North Side Burnt River,"August 16, 2014",215.0
2014,G70559 (2014),Prince George,55 44.103,121 15.911,Chetwynd,"March 29, 2015",5.6
2014,G80059 (2014),Prince George,56 31.577,122 04.579,4km Harold Ellis Rd.,"May 15, 2014",35.5
2014,G80070 (2014),Prince George,56 31.517,121 47.325,"21km Halfway Road, North of Cameron Rive...","May 19, 2014",285.0
2014,G80072 (2014),Prince George,56 12.860,121 26.930,Fort St. John,"May 20, 2014",6.0
2014,G80082 (2014),Prince George,57 38.779,120 41.250,Heck Creek,"May 27, 2014",7.5
2014,G80090 (2014),Prince George,57 36.377,120 46.840,Old Kantah Airstrip,"May 31, 2014",12.0
2014,G80134 (2014),Prince George,58 05.744,121 05.560,5km NW of Kantah Airstrip,"June 28, 2014",5.4
2014,G80354 (2014),Prince George,57 18.630,120 25.649,NW of Chinchaga River,"August 2, 2014",7932.0
2014,G80362 (2014),Prince George,57 26.520,120 21.747,Katah River,"August 3, 2014",10.5
2014,G80365 (2014),Prince George,56 20.977,122 50.560,2 Miles SW Graham River,"August 4, 2014",210.0
2014,G80421 (2014),Prince George,56 21.220,121 13.754,Red Creek Rd,"August 10, 2014",10.9
2014,G80422 (2014),Prince George,56 38.589,121 06.644,3miles East of Traveda Plant/ Mile 73,"August 11, 2014",17.0
2014,G80434 (2014),Prince George,56 30.450,123 01.524,Graham River,"August 12, 2014",827.0
2014,G80439 (2014),Prince George,57 31.073,121 53.130,Tommy Lakes,"August 13, 2014",4057.0
2014,G90086 (2014),Prince George,58 20.443,120 08.332,Little Buffalo River,"May 30, 2014",5.1
2014,G90091 (2014),Prince George,59 01.752,121 03.305,Kotcho Lake,"May 31, 2014",6.5
2014,G90094 (2014),Prince George,59 11.350,121 58.737,Komie Lake,"June 1, 2014",15.2
2014,G90229 (2014),Prince George,59 21.467,121 09.000,Thetlandoaa Creek,"July 15, 2014",13.0
2014,G90230 (2014),Prince George,59 21.419,121 07.641,Thetlandoaa Creek,"July 15, 2014",6.8
2014,G90232 (2014),Prince George,59 12.193,121 11.781,Outaanetdey Lake,"July 15, 2014",1290.0
2014,G90237 (2014),Prince George,59 47.500,121 51.021,Dilly Creekmouth,"July 15, 2014",55.9
2014,G90314 (2014),Prince George,58 47.600,120 56.949,Kotcho River,"July 30, 2014",36.7
2014,G90321 (2014),Prince George,59 45.080,120 16.880,June Lake,"July 30, 2014",16.9
2014,G90340 (2014),Prince George,59 22.554,121 26.369,Thetlaandoa Creek,"August 1, 2014",37.4
2014,G90343 (2014),Prince George,59 30.238,120 23.388,West of Hostli Lake,"August 2, 2014",312.3
2014,K10197 (2014),Kamloops,52 22.500,119 08.000,Pyramid Mountain,"July 3, 2014",22.5
2014,K10235 (2014),Kamloops,52 11.268,119 24.469,NW of Blue River,"July 12, 2014",88.3
2014,K10633 (2014),Kamloops,51 47.917,120 17.541,TFL 18 CP 705 Block M-219,"October 9, 2014",8.0
2014,K20001 (2014),Kamloops,50 36.037,119 53.879,Hanna Rd,"April 1, 2014",5.8
2014,K20010 (2014),Kamloops,50 44.454,120 45.759,6 Mile Lake,"April 4, 2014",5.5
2014,K20021 (2014),Kamloops,50 42.804,121 18.577,Ashcroft,"April 8, 2014",6.6
2014,K20057 (2014),Kamloops,50 34.584,121 18.180,Spatsum IR,"April 27, 2014",7.8
2014,K20065 (2014),Kamloops,50 28.184,120 19.792,Long Lake Road,"May 1, 2014",15.6
2014,K20113 (2014),Kamloops,50 47.017,121 07.355,Juniper Beach,"June 8, 2014",10.6
2014,K20478 (2014),Kamloops,50 58.499,119 58.146,North of Mount Tod,"August 11, 2014",8.0
2014,K20661 (2014),Kamloops,50 46.503,120 53.688,Sabiston Hill,"March 30, 2015",85.0
2014,K40231 (2014),Kamloops,50 32.105,118 29.756,Mt. Nelson,"July 12, 2014",114.0
2014,K40431 (2014),Kamloops,49 58.114,118 24.744,TeePee Creek,"August 5, 2014",15.4
2014,K50027 (2014),Kamloops,49 13.255,119 48.902,Keremeos - A&M Farm,"April 11, 2014",10.0
2014,K50029 (2014),Kamloops,49 06.139,119 28.624,Inkaneep,"April 11, 2014",80.0
2014,K50033 (2014),Kamloops,49 08.546,119 44.904,Barcelo Rd and Hwy 97 Junction,"April 12, 2014",80.0
2014,K50179 (2014),Kamloops,49 04.636,119 33.477,HWY 3 at Spotted Lake,"July 2, 2014",9.4
2014,K50210 (2014),Kamloops,49 18.853,119 39.408,White Lake Road,"July 7, 2014",20.0
2014,K50217 (2014),Kamloops,49 04.132,119 33.580,Richter Mtn Road,"July 9, 2014",15.0
2014,K50245 (2014),Kamloops,49 02.140,120 25.490,Placer Mountain,"July 13, 2014",15.0
2014,K50269 (2014),Kamloops,49 06.603,119 36.138,Mount Kobau,"July 15, 2014",8.2
2014,K50272 (2014),Kamloops,49 25.135,119 49.255,Apex Mountain,"July 15, 2014",345.0
2014,K50273 (2014),Kamloops,49 51.083,119 35.191,Mount Boucherie,"July 15, 2014",7.5
2014,K50289 (2014),Kamloops,49 23.350,120 00.754,Boot Hill,"July 16, 2014",101.0
2014,K50293 (2014),Kamloops,49 51.449,119 39.324,Smith Creek,"July 17, 2014",345.0
2014,K50294 (2014),Kamloops,49 30.884,119 33.116,Campbell Mountain,"July 17, 2014",5.0
2014,K50312 (2014),Kamloops,49 18.979,119 41.994,White Lk Rd,"July 22, 2014",6.71
2014,K50446 (2014),Kamloops,49 48.575,119 43.038,Drought Hill,"August 7, 2014",40.0
2014,K50480 (2014),Kamloops,49 27.895,119 43.342,Shingle Creek,"August 11, 2014",21.0
2014,K50483 (2014),Kamloops,49 39.394,119 18.356,Canyon Lakes FSR,"August 12, 2014",5.3
2014,K50585 (2014),Kamloops,49 07.144,119 29.217,Inkaneep,"September 7, 2014",19.1
2014,K50600 (2014),Kamloops,49 27.653,119 43.667,Shingle Creek,"September 15, 2014",16.0
2014,K50611 (2014),Kamloops,49 52.328,119 12.928,Cardinal Creek Road/Sun Valley Road,"September 21, 2014",6.2
2014,K60028 (2014),Kamloops,50 16.286,121 06.999,Shackan IR,"April 11, 2014",5.0
2014,K60261 (2014),Kamloops,49 47.616,121 01.774,Coquihalla 1,"July 15, 2014",5.0
2014,K60265 (2014),Kamloops,49 45.561,121 03.761,Maka-Murray,"July 14, 2014",400.0
2014,K60286 (2014),Kamloops,49 38.727,120 25.361,Jura,"July 16, 2014",375.0
2014,K60353 (2014),Kamloops,50 13.142,120 11.070,Willis Creek FSR,"August 1, 2014",34.0
2014,K60548 (2014),Kamloops,50 18.648,120 21.233,Peter Hope Lake,"August 24, 2014",5.0
2014,K60595 (2014),Kamloops,49 31.358,120 28.965,Princeton-Summerland Road,"September 14, 2014",182.0
2014,K60644 (2014),Kamloops,50 00.581,120 53.195,Coldwater,"March 6, 2015",100.0
2014,K60658 (2014),Kamloops,50 11.876,121 04.120,Nooaitch IR,"March 27, 2015",7.0
2014,K70042 (2014),Kamloops,50 47.285,121 58.633,Bridge River Rd,"April 14, 2014",17.2
2014,K70270 (2014),Kamloops,50 16.178,121 33.646,3 km Botanie Rd,"July 15, 2014",1389.0
2014,K70278 (2014),Kamloops,50 01.660,121 34.306,Hanna Creek,"July 14, 2014",5.0
2014,K70423 (2014),Kamloops,50 38.663,121 57.498,Enterprise Creek,"August 4, 2014",5.0
2014,K70430 (2014),Kamloops,50 23.145,121 48.668,NE of Siwhe Mtn,"August 3, 2014",15.0
2014,K70634 (2014),Kamloops,50 16.454,121 37.148,North Spencer Road,"October 11, 2014",13.7
2014,K70657 (2014),Kamloops,50 15.580,121 35.865,St Georges Rd,"March 18, 2015",8.0
2014,N10004 (2014),Southeast,49 09.700,115 06.422,Elko-Grasmere,"April 10, 2014",18.3
2014,N10242 (2014),Southeast,49 17.882,115 12.220,Kikomun Creek,"July 30, 2014",12.6
2014,N10273 (2014),Southeast,49 33.012,116 20.978,Fiddler Creek,"July 31, 2014",23.0
2014,N10277 (2014),Southeast,49 42.040,115 27.030,Tanglefoot Creek,"August 1, 2014",676.0
2014,N10438 (2014),Southeast,49 46.775,116 08.907,Kimberley,"August 11, 2014",6.6
2014,N10554 (2014),Southeast,49 43.971,115 47.859,Lost Dog FSR,"March 9, 2014",11.0
2014,N10556 (2014),Southeast,49 38.394,115 45.435,Mission Road,"March 9, 2015",18.8
2014,N20129 (2014),Southeast,50 08.019,116 03.122,Valentine Creek FSR,"July 16, 2014",8.3
2014,N20173 (2014),Southeast,51 00.721,116 54.999,Vowell Creek,"July 24, 2014",708.0
2014,N20200 (2014),Southeast,50 10.378,115 40.535,White Tail Brook,"July 27, 2014",1976.0
2014,N20227 (2014),Southeast,50 10.735,115 09.218,East Fork White,"July 28, 2014",728.0
2014,N20235 (2014),Southeast,50 33.300,115 37.397,Little Elk Creek,"July 30, 2014",240.0
2014,N20236 (2014),Southeast,50 10.502,115 25.237,Flett Peak,"July 30, 2014",1222.0
2014,N20244 (2014),Southeast,50 05.316,115 34.707,Shark Tooth Mountain,"July 30, 2014",117.0
2014,N20399 (2014),Southeast,50 06.654,115 04.870,Munroe Lake,"August 7, 2014",232.0
2014,N40084 (2014),Southeast,51 50.028,117 48.538,Kinbasket Lake / Swan Ck,"July 10, 2014",40.3
2014,N40354 (2014),Southeast,51 55.840,118 23.220,Louis Lee Creek,"August 4, 2014",48.7
2014,N40416 (2014),Southeast,51 59.572,118 36.316,2 km West of Mica Village,"August 9, 2014",33.4
2014,N50121 (2014),Southeast,49 42.120,117 22.650,Enterprise Creek,"July 16, 2014",14.3
2014,N50124 (2014),Southeast,49 40.800,117 21.200,Monument Creek,"July 16, 2014",14.5
2014,N50263 (2014),Southeast,49 54.370,117 15.108,Fennel Crk,"July 31, 2014",173.0
2014,N50320 (2014),Southeast,49 30.869,117 33.971,Slocan Park,"August 2, 2014",73.0
2014,N70011 (2014),Southeast,49 05.051,116 35.620,West Creston,"April 13, 2014",6.7
2014,N70075 (2014),Southeast,50 11.240,117 04.383,Cooper - Mckain Creek,"June 2, 2014",11.0
2014,N70255 (2014),Southeast,49 47.484,117 00.493,Woodbury #1,"July 31, 2014",15.0
2014,N70269 (2014),Southeast,49 21.731,117 06.065,Clearwater Creek,"July 31, 2014",17.0
2014,N70321 (2014),Southeast,49 16.890,116 59.110,Next Creek,"August 3, 2014",45.0
2014,N70378 (2014),Southeast,50 10.830,116 37.353,Greasy Rocks Creek,"August 5, 2014",80.0
2014,R10014 (2014),Northwest,53 55.944,125 39.725,Uncha Lake,"May 5, 2014",6.3
2014,R10064 (2014),Northwest,53 53.183,125 46.967,Takysie Lake,"July 2, 2014",43.0
2014,R10070 (2014),Northwest,53 23.890,125 44.075,Chelaslie River,"July 8, 2014",133100.0
2014,R10077 (2014),Northwest,53 22.966,126 53.395,Eutsuk Lake,"July 14, 2014",3750.0
2014,R20058 (2014),Northwest,54 23.364,126 55.712,Grizzly Lake,"July 2, 2014",5.6
2014,R20116 (2014),Northwest,54 22.176,126 25.783,China Nose,"August 11, 2014",3450.0
2014,R30107 (2014),Northwest,55 09.060,126 57.990,Blunt Creek,"August 4, 2014",20.0
2014,R40016 (2014),Northwest,55 30.298,127 46.619,32.5 KM on Kispiox Valley Road,"May 6, 2014",15.0
2014,R50020 (2014),Northwest,55 24.654,128 52.330,East of Hoodoo Lake,"May 10, 2014",36.0
2014,R50136 (2014),Northwest,54 30.769,128 22.774,Copper River,"August 22, 2014",29.4
2014,R90100 (2014),Northwest,59 02.042,128 28.713,SW of Deadwood Lk,"August 3, 2014",2830.0
2014,V10216 (2014),Coastal,49 57.280,122 11.340,North Nahatlatch Valley,"July 14, 2014",15.0
2014,V10235 (2014),Coastal,49 56.631,121 39.926,East of the Nahatlatch Valley,"July 14, 2014",38.0
